11:03:18.050 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (restartedMain) [c.n.d.s.r.aws.ConfigClusterResolver]
				-- Resolving eureka endpoints via configuration
11:03:18.094 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Disable delta property : false
11:03:18.094 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Single vip registry refresh property : null
11:03:18.094 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Force full registry fetch : false
11:03:18.094 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Application is null : false
11:03:18.096 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Registered Applications size is zero : true
11:03:18.097 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Application version is -1: true
11:03:18.097 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Getting all instance registry info from the eureka server
11:03:18.466 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- The response status is 200
11:03:18.470 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Starting heartbeat executor: renew interval is: 30
11:03:18.473 INFO  com.netflix.discovery.InstanceInfoReplicator (restartedMain) [c.n.discovery.InstanceInfoReplicator]
				-- InstanceInfoReplicator onDemand update allowed rate per min is 4
11:03:18.479 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Discovery Client initialized at timestamp 1657603998477 with initial instances count: 2
11:03:18.481 INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry (restartedMain) [o.s.c.n.e.s.EurekaServiceRegistry]
				-- Registering application DEPARTMENT-SERVICE with eureka with status UP
11:03:18.482 INFO  com.netflix.discovery.DiscoveryClient$3 (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Saw local status change event StatusChangeEvent [timestamp=1657603998482, current=UP, previous=STARTING]
11:03:18.485 INFO  com.netflix.discovery.DiscoveryClient (DiscoveryClient-InstanceInfoReplicator-0) [c.netflix.discovery.DiscoveryClient]
				-- DiscoveryClient_DEPARTMENT-SERVICE/VSP-JSZ3JL3.bbrouter:DEPARTMENT-SERVICE:8087: registering service...
11:03:18.522 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer (restartedMain) [o.s.b.w.e.tomcat.TomcatWebServer]
				-- Tomcat started on port(s): 8087 (http) with context path ''
11:03:18.524 INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration (restartedMain) [o.s.c.n.e.s.EurekaAutoServiceRegistration]
				-- Updating port to 8087
11:03:18.547 INFO  com.netflix.discovery.DiscoveryClient (DiscoveryClient-InstanceInfoReplicator-0) [c.netflix.discovery.DiscoveryClient]
				-- DiscoveryClient_DEPARTMENT-SERVICE/VSP-JSZ3JL3.bbrouter:DEPARTMENT-SERVICE:8087 - registration status: 204
11:03:18.749 INFO  org.springframework.boot.StartupInfoLogger (restartedMain) [c.j.department.DepartmentApplication]
				-- Started DepartmentApplication in 9.059 seconds (JVM running for 10.128)
11:14:38.220 INFO  org.springframework.boot.StartupInfoLogger (restartedMain) [c.j.department.DepartmentApplication]
				-- Starting DepartmentApplication using Java 11.0.8 on VSP-JSZ3JL3 with PID 82108 (C:\Valuemomentum\AnilBarla\department\department\target\classes started by AnilBarla in C:\Valuemomentum\AnilBarla\department\department)
11:14:38.225 INFO  org.springframework.boot.SpringApplication (restartedMain) [c.j.department.DepartmentApplication]
				-- The following 1 profile is active: "dev"
11:14:38.300 WARN  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.c.config.ConfigDataEnvironment]
				-- Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 51:13]
11:14:38.301 WARN  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.c.config.ConfigDataEnvironment]
				-- Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 36:13]
11:14:38.304 INFO  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor]
				-- Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
11:14:38.305 INFO  org.springframework.boot.logging.DeferredLog (restartedMain) [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor]
				-- For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
